#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_68w.pdb 0.016 36.169 15.924 0.02570 Incorrect Incorrect
allpdb0336_4_126w.pdb 0.005 37.387 16.707 0.02082 Incorrect Incorrect
allpdb0336_4_191w.pdb 0.005 37.357 16.621 0.02087 Incorrect Incorrect
allpdb0336_4_125w.pdb 0.005 37.450 16.808 0.02074 Incorrect Incorrect
allpdb0336_4_185w.pdb 0.011 37.605 16.906 0.02235 Incorrect Incorrect
allpdb0336_4_190w.pdb 0.005 37.177 16.533 0.02105 Incorrect Incorrect
allpdb0336_4_134w.pdb 0.005 37.430 16.784 0.02076 Incorrect Incorrect
allpdb0336_4_141w.pdb 0.005 37.196 16.694 0.02099 Incorrect Incorrect
allpdb0336_4_99w.pdb 0.016 35.675 15.679 0.02625 Incorrect Incorrect
allpdb0336_4_89w.pdb 0.016 35.072 15.931 0.02674 Incorrect Incorrect
allpdb0336_4_23w.pdb 0.016 35.757 15.780 0.02613 Incorrect Incorrect
allpdb0336_4_65w.pdb 0.016 35.010 15.356 0.02702 Incorrect Incorrect
allpdb0336_4_148w.pdb 0.005 37.448 16.777 0.02075 Incorrect Incorrect
allpdb0336_4_25w.pdb 0.000 39.122 16.810 0.01766 Incorrect Incorrect
allpdb0336_4_157w.pdb 0.005 37.059 16.704 0.02110 Incorrect Incorrect
allpdb0336_4_36w.pdb 0.016 34.268 15.432 0.02776 Incorrect Incorrect
allpdb0336_4_32w.pdb 0.016 34.017 15.273 0.02809 Incorrect Incorrect
allpdb0336_4_128w.pdb 0.005 37.371 16.748 0.02082 Incorrect Incorrect
allpdb0336_4_31w.pdb 0.016 36.387 15.853 0.02553 Incorrect Incorrect
allpdb0336_4_40w.pdb 0.021 34.873 15.718 0.02879 Incorrect Incorrect
allpdb0336_4_115w.pdb 0.016 35.823 15.713 0.02610 Incorrect Incorrect
allpdb0336_4_199w.pdb 0.005 37.854 16.925 0.02037 Incorrect Incorrect
allpdb0336_4_84w.pdb 0.016 34.959 15.747 0.02692 Incorrect Incorrect
allpdb0336_4_16w.pdb 0.016 35.680 15.485 0.02632 Incorrect Incorrect
allpdb0336_4_97w.pdb 0.016 34.723 15.644 0.02720 Incorrect Incorrect
allpdb0336_4_10w.pdb 0.016 36.064 15.879 0.02581 Incorrect Incorrect
allpdb0336_4_38w.pdb 0.011 34.970 15.919 0.02508 Incorrect Incorrect
allpdb0336_4_39w.pdb 0.011 35.410 16.100 0.02458 Incorrect Incorrect
allpdb0336_4_145w.pdb 0.005 37.332 16.693 0.02087 Incorrect Incorrect
allpdb0336_4_75w.pdb 0.016 36.118 15.817 0.02578 Incorrect Incorrect
allpdb0336_4_59w.pdb 0.016 35.502 15.486 0.02649 Incorrect Incorrect
allpdb0336_4_98w.pdb 0.016 34.957 15.791 0.02691 Incorrect Incorrect
allpdb0336_4_27w.pdb 0.016 35.765 15.725 0.02615 Incorrect Incorrect
allpdb0336_4_30w.pdb 0.016 35.803 15.797 0.02608 Incorrect Incorrect
allpdb0336_4_22w.pdb 0.016 36.092 15.897 0.02578 Incorrect Incorrect
allpdb0336_4_76w.pdb 0.016 35.777 15.586 0.02619 Incorrect Incorrect
allpdb0336_4_73w.pdb 0.016 35.913 15.791 0.02598 Incorrect Incorrect
allpdb0336_4_160w.pdb 0.011 35.327 15.287 0.02497 Incorrect Incorrect
allpdb0336_4_69w.pdb 0.016 36.121 15.791 0.02579 Incorrect Incorrect
allpdb0336_4_7w.pdb 0.016 35.722 15.544 0.02626 Incorrect Incorrect
allpdb0336_4_87w.pdb 0.016 36.153 15.823 0.02575 Incorrect Incorrect
allpdb0336_4_35w.pdb 0.011 40.100 17.711 0.02025 Incorrect Incorrect
allpdb0336_4_19w.pdb 0.016 35.332 15.600 0.02661 Incorrect Incorrect
allpdb0336_4_15w.pdb 0.016 36.182 15.876 0.02570 Incorrect Incorrect
allpdb0336_4_96w.pdb 0.005 35.792 15.534 0.02265 Incorrect Incorrect
allpdb0336_4_77w.pdb 0.005 34.610 15.284 0.02392 Incorrect Incorrect
allpdb0336_4_48w.pdb 0.016 36.507 15.968 0.02538 Incorrect Incorrect
allpdb0336_4_4w.pdb 0.000 40.686 17.827 0.01628 Incorrect Incorrect
allpdb0336_4_12w.pdb 0.016 35.740 15.437 0.02628 Incorrect Incorrect
allpdb0336_4_55w.pdb 0.016 35.951 15.916 0.02590 Incorrect Incorrect
