#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_37w.pdb 0.394 3.845 1.629 0.56118 Medium Medium
allpdb0089_10_173w.pdb 0.356 4.193 1.678 0.53463 Medium Medium
allpdb0089_10_183w.pdb 0.344 3.386 1.552 0.56346 Medium Medium
allpdb0089_10_76w.pdb 0.333 5.321 1.924 0.47658 Medium Acceptable
allpdb0089_10_46w.pdb 0.344 4.509 1.873 0.50515 Medium Medium
allpdb0089_10_93w.pdb 0.344 4.042 1.797 0.52352 Medium Medium
allpdb0089_10_26w.pdb 0.328 3.599 1.798 0.52875 Medium Medium
allpdb0089_10_19w.pdb 0.367 3.493 1.657 0.55754 Medium Medium
allpdb0089_10_127w.pdb 0.378 3.267 1.497 0.58340 Medium Medium
allpdb0089_10_51w.pdb 0.361 4.115 1.613 0.54504 Medium Medium
allpdb0089_10_156w.pdb 0.383 4.535 1.780 0.52571 Medium Medium
allpdb0089_10_154w.pdb 0.361 4.650 1.698 0.52302 Medium Medium
allpdb0089_10_48w.pdb 0.344 3.667 1.553 0.55672 Medium Medium
allpdb0089_10_122w.pdb 0.350 3.344 1.497 0.57233 Medium Medium
allpdb0089_10_136w.pdb 0.339 4.762 1.724 0.51026 Medium Medium
allpdb0089_10_9w.pdb 0.322 3.876 1.600 0.53934 Medium Medium
allpdb0089_10_112w.pdb 0.333 4.492 2.042 0.48849 Medium Acceptable
allpdb0089_10_187w.pdb 0.356 4.217 1.799 0.52273 Medium Medium
allpdb0089_10_186w.pdb 0.372 4.244 1.704 0.53641 Medium Medium
allpdb0089_10_163w.pdb 0.283 5.829 2.271 0.42243 Acceptable Acceptable
allpdb0089_10_160w.pdb 0.317 3.679 1.804 0.52257 Medium Medium
allpdb0089_10_120w.pdb 0.311 3.856 1.678 0.52820 Medium Medium
allpdb0089_10_138w.pdb 0.367 4.061 1.792 0.53092 Medium Medium
allpdb0089_10_4w.pdb 0.367 4.585 1.701 0.52627 Medium Medium
allpdb0089_10_1w.pdb 0.017 58.203 28.561 0.01343 Incorrect Incorrect
allpdb0089_10_27w.pdb 0.350 4.757 1.701 0.51629 Medium Medium
allpdb0089_10_155w.pdb 0.328 3.503 1.591 0.55112 Medium Medium
